Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.000000000,0,0,0,0
0.001748600,0,0,0,1
0.002580600,0,1,0,1
0.002723500,1,1,0,1
0.002754300,1,1,1,1
0.003398200,1,1,0,1
0.003525000,1,1,0,0
0.004513700,1,1,0,1
0.005272100,1,0,0,1
0.005560700,0,0,0,1
0.005701700,1,0,0,1
0.006608700,1,0,1,1
0.007226800,1,0,1,0
0.007732600,1,1,1,0
0.007953800,1,0,1,0
0.008194500,1,0,1,1
0.008278300,0,0,1,1
0.009199500,0,0,0,1
0.010287700,0,0,0,0
0.010337700,1,0,0,0
0.010554600,0,0,0,0
0.010818300,0,1,0,0
0.011658100,0,1,0,1
0.011809300,0,1,1,1
0.011904100,1,1,1,1
0.011995800,1,1,0,1
0.012443400,1,1,0,0
0.012513700,1,0,0,0
0.013799100,1,1,0,0
0.014084300,1,1,0,1
0.014114500,1,1,1,1
0.014689000,0,1,1,1
0.014763800,0,0,1,1
0.015391900,1,0,1,1
0.015398700,1,0,0,1
0.015857700,1,0,0,0
0.016347200,1,0,1,0
0.016441500,1,0,1,1
0.016962400,1,0,0,1
0.016987600,1,1,0,1
0.017095300,1,1,1,1
0.017331100,1,1,0,1
0.017711400,1,0,0,1
0.018085700,0,0,0,1
0.019284600,0,0,1,1
0.019312400,0,0,0,1
0.019451800,0,1,0,1
0.019672500,1,1,0,1
0.019675500,1,1,0,0
0.020085000,1,0,0,0
0.021037400,0,0,0,0
0.021958400,0,1,0,0
0.021972500,0,1,1,0
0.022685700,0,1,1,1
0.023031000,1,1,1,1
0.023273700,1,1,1,0
0.023885900,1,0,1,0
0.024089400,1,0,0,0
0.024098900,1,0,0,1
0.025205200,1,1,0,1
0.025784200,1,0,0,1
0.025857400,0,0,0,1
0.026027700,0,0,1,1
0.026457200,1,0,1,1
0.026751100,1,0,1,0
0.027056900,1,1,1,0
0.027952700,1,0,1,0
0.028360600,1,0,1,1
0.028889600,1,0,1,0
0.028970800,1,0,0,0
0.029049400,0,0,0,0
0.029601900,0,0,1,0
0.030318800,0,1,1,0
0.030439100,0,1,1,1
0.030997100,0,1,1,0
0.032114900,0,0,1,0
0.032142000,1,0,1,0
0.032359000,1,0,0,0
0.032510700,1,1,0,0
0.033467600,1,1,0,1
0.034212300,1,0,0,1
0.034448900,1,1,0,1
0.034638600,0,1,0,1
0.035071600,0,1,1,1
0.035782900,0,1,1,0
0.036269300,0,0,1,0
0.036271800,0,0,0,0
0.037017500,0,0,1,0
0.037182700,1,0,1,0
0.037565100,1,0,1,1
0.038090300,1,1,1,1
0.038872300,1,1,0,1
0.039018800,0,1,0,1
0.040294600,0,1,0,0
0.040522200,1,1,0,0
0.040806500,0,1,0,0
0.040948800,0,1,1,0
0.041021300,0,0,1,0
0.042375200,1,0,1,0
0.042573600,1,0,0,0
0.042895800,1,1,0,0
0.043286900,1,1,0,1
0.043493000,0,1,0,1
0.043883800,0,1,1,1
0.043923100,0,1,0,1
0.044449400,0,1,0,0
0.044695300,0,0,0,0
0.044999900,0,0,0,1
0.045436600,0,0,1,1
0.046323800,0,1,1,1
0.046727900,1,1,1,1
0.046864400,1,1,0,1
0.047623800,0,1,0,1
0.047698700,0,1,0,0
0.048115200,0,1,0,1
0.048229200,0,1,0,0
0.048488100,0,1,1,0
0.048700300,0,0,1,0
0.048867300,1,0,1,0
0.049253800,1,0,1,1
0.049871300,1,1,1,1
0.050345700,0,1,1,1
0.050514100,0,1,0,1
0.051133000,0,1,1,1
0.052203600,0,1,1,0
0.052725600,0,0,1,0
0.053474900,0,0,0,0
0.053538900,0,0,1,0
0.053546100,1,0,1,0
0.054660100,1,0,0,0
0.055157300,1,0,0,1
0.055328600,1,1,0,1
0.055648100,1,1,0,0
0.055767300,1,0,0,0
0.055999100,0,0,0,0
0.056218700,0,1,0,0
0.056911600,0,0,0,0
0.057282700,0,0,1,0
0.057401300,1,0,1,0
0.058587400,1,0,0,0
0.058745400,1,0,0,1
0.058965900,1,1,0,1
0.059031300,1,0,0,1
0.059314200,0,0,0,1
0.059549200,0,1,0,1
0.059807000,0,1,1,1
0.060042200,0,1,0,1
0.060950900,0,1,1,1
0.061718400,0,0,1,1
0.061830000,0,0,1,0
0.062349100,1,0,1,0
0.062491400,1,0,1,1
0.063073100,1,1,1,1
0.063511200,1,1,1,0
0.063624400,1,1,1,1
0.064214700,1,1,0,1
0.064304300,1,1,1,1
0.064430200,1,0,1,1
0.064773400,1,0,0,1
0.064902600,1,0,1,1
0.065399900,0,0,1,1
0.066595500,0,0,1,0
0.066876200,0,0,0,0
0.067037200,0,1,0,0
0.067890000,0,0,0,0
0.068059600,0,0,0,1
0.068141100,1,0,0,1
0.068427100,1,0,0,0
0.068613600,1,1,0,0
0.068672200,1,1,0,1
0.068920700,1,1,0,0
0.069885800,1,0,0,0
0.069931700,1,0,1,0
0.070549000,1,1,1,0
0.070657000,1,1,0,0
0.070776400,0,1,0,0
