name,type,start_time,duration
"Test Analyzer","error",0.0040868,0.0021974
"Test Analyzer","error",0.0094821,0.0017001
"Test Analyzer","enable",0.0137267,0.0000001
"Test Analyzer","disable",0.0166095,0.0000001
"Test Analyzer","error",0.019399,0.0024472
"Test Analyzer","error",0.0243865,0.0006908
"Test Analyzer","error",0.0260173,0.0001709
"Test Analyzer","error",0.0274871,0.0030533
"Test Analyzer","enable",0.0321609,0.0000001
"Test Analyzer","disable",0.0344849,0.0000001
"Test Analyzer","error",0.0361301,0.0013922
"Test Analyzer","error",0.0383223,0.0019659
"Test Analyzer","enable",0.0419875,0.0000001
"Test Analyzer","disable",0.0422588,0.0000001
"Test Analyzer","error",0.0440274,0.0019928
"Test Analyzer","enable",0.0490399,0.0000001
"Test Analyzer","disable",0.0494412,0.0000001
"Test Analyzer","enable",0.0496438,0.0000001
"Test Analyzer","disable",0.0503441,0.0000001
"Test Analyzer","error",0.0520137,0.0018336
"Test Analyzer","error",0.0552123,0.000119
"Test Analyzer","enable",0.0560421,0.0000001
"Test Analyzer","disable",0.0574687,0.0000001
"Test Analyzer","enable",0.0605368,0.0000001
"Test Analyzer","disable",0.0626984,0.0000001
"Test Analyzer","enable",0.0651976,0.0000001
"Test Analyzer","disable",0.0673204,0.0000001
"Test Analyzer","error",0.0677205,0.0002463
"Test Analyzer","error",0.0681434,0.000041
"Test Analyzer","error",0.0703488,0.001094
"Test Analyzer","error",0.0717433,0.0007608
"Test Analyzer","enable",0.073549,0.0000001
"Test Analyzer","disable",0.0751136,0.0000001
"Test Analyzer","error",0.0774872,0.0030568
"Test Analyzer","enable",0.0812979,0.0000001
"Test Analyzer","disable",0.0815168,0.0000001
"Test Analyzer","error",0.081767,0.0011905
"Test Analyzer","error",0.0848342,0.0008906
"Test Analyzer","enable",0.0860211,0.0000001
"Test Analyzer","disable",0.087399,0.0000001
"Test Analyzer","error",0.0886932,0.0032731
"Test Analyzer","error",0.094965,0.0013141
"Test Analyzer","enable",0.0969238,0.0000001
"Test Analyzer","disable",0.0994546,0.0000001
"Test Analyzer","enable",0.1015247,0.0000001
"Test Analyzer","disable",0.1047212,0.0000001
"Test Analyzer","error",0.1066824,0.0030409
"Test Analyzer","enable",0.1114354,0.0000001
"Test Analyzer","disable",0.1143265,0.0000001
"Test Analyzer","enable",0.11591,0.0000001
"Test Analyzer","disable",0.1163017,0.0000001
"Test Analyzer","enable",0.1169097,0.0000001
"Test Analyzer","disable",0.1200159,0.0000001
"Test Analyzer","error",0.1201319,0.0019111
"Test Analyzer","enable",0.1243074,0.0000001
"Test Analyzer","disable",0.1270827,0.0000001
"Test Analyzer","error",0.1282098,0.0008438
"Test Analyzer","error",0.1319778,0.0029346
"Test Analyzer","enable",0.136854,0.0000001
"Test Analyzer","disable",0.1393508,0.0000001
"Test Analyzer","error",0.1406803,0.0007752
"Test Analyzer","enable",0.144601,0.0000001
"Test Analyzer","disable",0.1448144,0.0000001
"Test Analyzer","enable",0.1479231,0.0000001
"Test Analyzer","disable",0.1503483,0.0000001
"Test Analyzer","error",0.1515677,0.0018152
"Test Analyzer","enable",0.1555694,0.0000001
"Test Analyzer","disable",0.1580628,0.0000001
"Test Analyzer","enable",0.1591084,0.0000001
"Test Analyzer","disable",0.1613597,0.0000001
"Test Analyzer","enable",0.1627025,0.0000001
"Test Analyzer","disable",0.1633822,0.0000001
"Test Analyzer","error",0.1633957,0.0020502
"Test Analyzer","error",0.1673615,0.0031187
"Test Analyzer","error",0.1732629,0.0015943
"Test Analyzer","enable",0.1756568,0.0000001
"Test Analyzer","disable",0.1781662,0.0000001
"Test Analyzer","error",0.1785552,0.0008269
"Test Analyzer","error",0.1810485,0.0010689
"Test Analyzer","error",0.1831375,0.0023224
"Test Analyzer","error",0.1858609,0.00115
"Test Analyzer","error",0.1895906,0.0017173
"Test Analyzer","enable",0.1926455,0.0000001
"Test Analyzer","disable",0.1940932,0.0000001
"Test Analyzer","enable",0.1967394,0.0000001
"Test Analyzer","disable",0.1968533,0.0000001
"Test Analyzer","error",0.1985699,0.0006993
"Test Analyzer","enable",0.202321,0.0000001
"Test Analyzer","disable",0.203476,0.0000001
"Test Analyzer","enable",0.2057577,0.0000001
"Test Analyzer","disable",0.2069875,0.0000001
"Test Analyzer","enable",0.2084187,0.0000001
"Test Analyzer","disable",0.2092488,0.0000001
"Test Analyzer","error",0.2106095,0.0032215
"Test Analyzer","error",0.2147422,0.0017757
"Test Analyzer","error",0.2186741,0.0021419
"Test Analyzer","enable",0.2235448,0.0000001
"Test Analyzer","disable",0.2249855,0.0000001
"Test Analyzer","enable",0.2253376,0.0000001
"Test Analyzer","disable",0.2254945,0.0000001
"Test Analyzer","error",0.2279797,0.0004782
"Test Analyzer","error",0.2295015,0.0016176
"Test Analyzer","error",0.2323193,0.0024213
"Test Analyzer","enable",0.2375322,0.0000001
"Test Analyzer","disable",0.2404834,0.0000001
"Test Analyzer","enable",0.2431051,0.0000001
"Test Analyzer","disable",0.2451026,0.0000001
"Test Analyzer","error",0.2464515,0.0015204
"Test Analyzer","enable",0.2489413,0.0000001
"Test Analyzer","disable",0.2503204,0.0000001
"Test Analyzer","enable",0.2527183,0.0000001
"Test Analyzer","disable",0.2558291,0.0000001
"Test Analyzer","enable",0.2560934,0.0000001
"Test Analyzer","disable",0.2591337,0.0000001
"Test Analyzer","error",0.2616584,0.0017469
"Test Analyzer","enable",0.2639914,0.0000001
"Test Analyzer","disable",0.2667645,0.0000001
"Test Analyzer","enable",0.2697674,0.0000001
"Test Analyzer","disable",0.270347,0.0000001
"Test Analyzer","error",0.2723002,0.0011514
"Test Analyzer","enable",0.2743737,0.0000001
"Test Analyzer","disable",0.2755737,0.0000001
"Test Analyzer","error",0.2760025,0.0019214
"Test Analyzer","enable",0.2794641,0.0000001
"Test Analyzer","disable",0.279719,0.0000001
"Test Analyzer","enable",0.2797489,0.0000001
"Test Analyzer","disable",0.2799413,0.0000001
"Test Analyzer","error",0.2829803,0.0004632
"Test Analyzer","enable",0.2851604,0.0000001
"Test Analyzer","disable",0.2856259,0.0000001
"Test Analyzer","error",0.2870615,0.0018525
"Test Analyzer","enable",0.2890533,0.0000001
"Test Analyzer","disable",0.2896134,0.0000001
"Test Analyzer","enable",0.2923201,0.0000001
"Test Analyzer","disable",0.2933752,0.0000001
"Test Analyzer","error",0.2943114,0.0029466
"Test Analyzer","error",0.2975486,0.0008059
"Test Analyzer","error",0.3005919,0.0001459
"Test Analyzer","enable",0.3025693,0.0000001
"Test Analyzer","disable",0.3047461,0.0000001
"Test Analyzer","error",0.3064059,0.0027417
"Test Analyzer","error",0.3092924,0.0024066
"Test Analyzer","error",0.3135862,0.0019513
"Test Analyzer","error",0.3155585,0.0003834
"Test Analyzer","enable",0.3175376,0.0000001
"Test Analyzer","disable",0.320409,0.0000001
"Test Analyzer","error",0.3211234,0.0001876
"Test Analyzer","error",0.3218088,0.0027377
"Test Analyzer","error",0.3263963,0.002493
"Test Analyzer","enable",0.32945,0.0000001
"Test Analyzer","disable",0.3303958,0.0000001
"Test Analyzer","error",0.332595,0.0029904
"Test Analyzer","error",0.3370683,0.0013107
"Test Analyzer","error",0.3413229,0.0013643
"Test Analyzer","error",0.34594,0.0022687
"Test Analyzer","error",0.3502942,0.003217
"Test Analyzer","error",0.3554365,0.0001945
"Test Analyzer","error",0.3558259,0.003014
"Test Analyzer","enable",0.3607534,0.0000001
"Test Analyzer","disable",0.3615021,0.0000001
"Test Analyzer","enable",0.3618689,0.0000001
"Test Analyzer","disable",0.3647777,0.0000001
"Test Analyzer","error",0.3672864,0.0002811
"Test Analyzer","error",0.3686732,0.0028548
"Test Analyzer","enable",0.3720964,0.0000001
"Test Analyzer","disable",0.3725691,0.0000001
"Test Analyzer","error",0.3757543,0.0011439
"Test Analyzer","error",0.3790581,0.0014701
"Test Analyzer","error",0.3834337,0.0025204
"Test Analyzer","error",0.3883448,0.000518
"Test Analyzer","error",0.3914803,0.0031574
"Test Analyzer","enable",0.3979098,0.0000001
"Test Analyzer","disable",0.3986069,0.0000001
"Test Analyzer","error",0.3997145,0.0004664
"Test Analyzer","enable",0.4015751,0.0000001
"Test Analyzer","disable",0.4027933,0.0000001
"Test Analyzer","error",0.4050851,0.0027578
"Test Analyzer","enable",0.4098811,0.0000001
"Test Analyzer","disable",0.412211,0.0000001
"Test Analyzer","error",0.414937,0.0025446
"Test Analyzer","enable",0.4193614,0.0000001
"Test Analyzer","disable",0.4202776,0.0000001
"Test Analyzer","error",0.4232152,0.0006223
"Test Analyzer","error",0.4264679,0.0004081
"Test Analyzer","enable",0.4297604,0.0000001
"Test Analyzer","disable",0.4329057,0.0000001
"Test Analyzer","error",0.4332138,0.0025829
"Test Analyzer","error",0.4373551,0.000772
"Test Analyzer","enable",0.4392477,0.0000001
"Test Analyzer","disable",0.4403869,0.0000001
"Test Analyzer","error",0.4405574,0.0021158
"Test Analyzer","enable",0.4430964,0.0000001
"Test Analyzer","disable",0.4447168,0.0000001
"Test Analyzer","error",0.4449475,0.0004977
"Test Analyzer","enable",0.4484988,0.0000001
"Test Analyzer","disable",0.4512317,0.0000001
"Test Analyzer","enable",0.4522655,0.0000001
"Test Analyzer","disable",0.4542513,0.0000001
"Test Analyzer","enable",0.4543684,0.0000001
"Test Analyzer","disable",0.4550103,0.0000001
"Test Analyzer","error",0.4554514,0.0018506
"Test Analyzer","error",0.4573131,0.0001707
"Test Analyzer","enable",0.4591214,0.0000001
"Test Analyzer","disable",0.4594183,0.0000001
"Test Analyzer","enable",0.4596428,0.0000001
"Test Analyzer","disable",0.4615638,0.0000001
"Test Analyzer","enable",0.4639473,0.0000001
"Test Analyzer","disable",0.4667424,0.0000001
"Test Analyzer","error",0.4697912,0.0004996
"Test Analyzer","error",0.4731319,0.0015338
"Test Analyzer","error",0.4767298,0.0015879
"Test Analyzer","enable",0.4812353,0.0000001
"Test Analyzer","disable",0.4832018,0.0000001
"Test Analyzer","enable",0.4857639,0.0000001
"Test Analyzer","disable",0.4877982,0.0000001
"Test Analyzer","enable",0.4888161,0.0000001
"Test Analyzer","disable",0.4895592,0.0000001
"Test Analyzer","error",0.4903242,0.0011497
"Test Analyzer","error",0.4917978,0.000381
"Test Analyzer","enable",0.4924547,0.0000001
"Test Analyzer","disable",0.4946621,0.0000001
"Test Analyzer","error",0.4954936,0.0002268
"Test Analyzer","error",0.498784,0.0022318
"Test Analyzer","enable",0.5034488,0.0000001
"Test Analyzer","disable",0.50651,0.0000001
"Test Analyzer","enable",0.5076384,0.0000001
"Test Analyzer","disable",0.509225,0.0000001
"Test Analyzer","error",0.5116836,0.0017471
"Test Analyzer","error",0.5138843,0.000791
"Test Analyzer","enable",0.515648,0.0000001
"Test Analyzer","disable",0.5157334,0.0000001
"Test Analyzer","error",0.5181174,0.0019495
"Test Analyzer","error",0.5212211,0.0031234
"Test Analyzer","error",0.5261449,0.0003499
"Test Analyzer","enable",0.5285958,0.0000001
"Test Analyzer","disable",0.5298166,0.0000001
"Test Analyzer","error",0.5313107,0.0016968
"Test Analyzer","enable",0.5351418,0.0000001
"Test Analyzer","disable",0.5375736,0.0000001
"Test Analyzer","enable",0.539329,0.0000001
"Test Analyzer","disable",0.5407031,0.0000001
"Test Analyzer","enable",0.5427698,0.0000001
"Test Analyzer","disable",0.5455365,0.0000001
"Test Analyzer","enable",0.5457584,0.0000001
"Test Analyzer","disable",0.5478861,0.0000001
"Test Analyzer","error",0.5480537,0.0013515
"Test Analyzer","enable",0.5515712,0.0000001
"Test Analyzer","disable",0.5534744,0.0000001
"Test Analyzer","error",0.5544973,0.0003784
